School,Year,Industry,Percentage
Stanford,2023,Technology,49.0
Stanford,2025,Technology,42.0
Kellogg,2023,Consulting,41.91
Kellogg,2022,Consulting,40.04
NYU Stern,2025,Consulting,39.4
MIT Sloan,2013,Consulting,38.9
Chicago Booth,2023,Consulting,38.6
NYU Stern,2025,Financial Services,38.1
NYU Stern,2025,Consulting,32.8
NYU Stern,2025,Investment Banking,28.0
NYU Stern,2025,Technology/Telecommunications,14.2
NYU Stern,2025,Law,3.4
NYU Stern,2025,Consumer Packaged Goods,3.4
NYU Stern,2025,Healthcare/Pharmaceuticals/Biotech,3.4
NYU Stern,2025,Entertainment/Media/Sports,2.2
NYU Stern,2025,Venture Capital,1.7
NYU Stern,2025,Diversified Financial Services,1.7
NYU Stern,2025,Asset Management,1.3
NYU Stern,2025,Commercial Banking,1.3
NYU Stern,2025,Private Equity,1.3
NYU Stern,2025,Transportation & Logistics,1.3
NYU Stern,2025,Real Estate,0.9
NYU Stern,2025,Retail,0.9
NYU Stern,2025,Insurance,0.9
NYU Stern,2025,Government,0.4
NYU Stern,2025,Manufacturing,0.4
Stanford,2023,Financial Services,38.0
Kellogg,2024,Consulting,38.0
MIT Sloan,2014,Consulting,37.4
Kellogg,2021,Consulting,37.0
Stanford,2024,Financial Services,37.0
Columbia,2022,Financial Services,36.9
Columbia,2021,Consulting,36.1
Columbia,2024,Financial Services,35.9
Chicago Booth,2022,Consulting,35.5
MIT Sloan,2012,Consulting,35.4
Chicago Booth,2022,Financial Services,35.1
Chicago Booth,2021,Consulting,34.4
Stanford,2025,Financial Services,34.0
Chicago Booth,2024,Consulting,33.8
MIT Sloan,2023,Consulting,33.7
Columbia,2022,Consulting,33.6
Columbia,2021,Financial Services,33.0
Chicago Booth,2024,Financial Services,32.9
Chicago Booth,2023,Financial Services,32.6
MIT Sloan,2024,Consulting,32.1
MIT Sloan,2022,Consulting,31.2
MIT Sloan,2020,Consulting,31.1
Columbia,2024,Consulting,30.6
Stanford,2022,Technology,30.0
MIT Sloan,2024,Financial Services,29.5
MIT Sloan,2022,Financial Services,29.2
MIT Sloan,2019,Consulting,28.3
Stanford,2024,Technology,28.0
Chicago Booth,2021,Financial Services,27.0
MIT Sloan,2022,Technology,26.5
Kellogg,2021,Technology,26.2
MIT Sloan,2019,Financial Services,26.2
Stanford,2022,Financial Services,26.0
MIT Sloan,2014,Manufacturing,24.4
MIT Sloan,2014,Financial Services,24.3
MIT Sloan,2012,Financial Services,24.3
MIT Sloan,2023,Technology,24.1
MIT Sloan,2019,Manufacturing,23.9
MIT Sloan,2025,Consulting,23.4
MIT Sloan,2013,Manufacturing,23.3
Kellogg,2023,Financial Services,23.0
Chicago Booth,2021,Technology,22.9
MIT Sloan,2021,Manufacturing,22.9
Kellogg,2022,Technology,21.0
Kellogg,2024,Technology,20.44
MIT Sloan,2024,Technology,20.1
Stanford,2024,Private Equity,20.0
MIT Sloan,2023,Financial Services,19.9
MIT Sloan,2013,Technology,19.8
Kellogg,2022,Financial Services,19.0
Kellogg,2021,Financial Services,19.0
Kellogg,2024,Financial Services,18.51
MIT Sloan,2020,Financial,18.5
MIT Sloan,2013,Financial Services,18.3
MIT Sloan,2012,Manufacturing,18.1
NYU Stern,2025,Technology,18.1
Stanford,2023,Private Equity,18.0
Stanford,2023,Consumer/Retail,17.0
MIT Sloan,2021,Consulting,16.9
MIT Sloan,2012,Technology,16.8
MIT Sloan,2014,Technology,16.8
Kellogg,2023,Technology,16.71
Stanford,2024,Healthcare/Pharma,16.0
Stanford,2022,Consumer/Retail,16.0
Stanford,2025,Private Equity,16.0
Columbia,2022,Technology,16.0
Chicago Booth,2023,Technology,15.5
Stanford,2022,Venture Capital,15.0
Stanford,2024,Venture Capital,15.0
Stanford,2023,Venture Capital,15.0
Stanford,2023,Consulting,15.0
Chicago Booth,2022,Technology,14.9
Chicago Booth,2024,Technology,14.8
Stanford,2022,Private Equity,14.0
Stanford,2024,Consulting,14.0
Stanford,2025,Venture Capital,14.0
Stanford,2023,Healthcare/Pharma,12.0
Stanford,2024,Consumer/Retail,12.0
Stanford,2025,Consulting,11.0
MIT Sloan,2022,Venture Capital,10.8
MIT Sloan,2012,Consumer/Retail,10.2
MIT Sloan,2014,Consumer/Retail,10.2
Stanford,2025,Healthcare/Pharma,10.0
Columbia,2024,Technology,10.0
Stanford,2025,Consumer/Retail,10.0
Stanford,2022,Consulting,10.0
MIT Sloan,2013,Consumer/Retail,10.0
MIT Sloan,2021,Technology,10.0
Kellogg,2023,Private Equity,9.81
MIT Sloan,2019,Technology,9.8
MIT Sloan,2024,Venture Capital,9.7
Kellogg,2024,Healthcare/Pharma,9.12
Chicago Booth,2023,Private Equity,9.1
MIT Sloan,2021,Venture Capital,8.5
MIT Sloan,2019,Venture Capital,8.3
Stanford,2022,Healthcare/Pharma,8.0
Chicago Booth,2022,Private Equity,7.1
Chicago Booth,2021,Private Equity,6.8
Chicago Booth,2024,Private Equity,6.4
Kellogg,2021,Healthcare/Pharma,6.3
MIT Sloan,2020,Technology,5.6
MIT Sloan,2021,Consumer/Retail,5.6
Columbia,2024,Consumer/Retail,5.2
Columbia,2024,Private Equity,5.2
Kellogg,2021,Private Equity,5.2
Chicago Booth,2022,Venture Capital,5.2
MIT Sloan,2024,Consumer/Retail,5.1
Stanford,2024,Energy,5.0
Columbia,2022,Private Equity,4.7
MIT Sloan,2024,Private Equity,4.7
MIT Sloan,2024,Energy,4.6
Columbia,2021,Private Equity,4.5
Chicago Booth,2021,Consumer/Retail,4.4
Kellogg,2022,Private Equity,4.33
Kellogg,2022,Healthcare/Pharma,4.33
MIT Sloan,2022,Private Equity,4.2
MIT Sloan,2022,Consumer/Retail,4.1
Chicago Booth,2024,Healthcare/Pharma,4.1
Chicago Booth,2022,Healthcare/Pharma,4.1
Stanford,2023,Energy,4.0
MIT Sloan,2019,Consumer/Retail,4.0
Stanford,2025,Energy,4.0
Stanford,2024,Nonprofit/Government,4.0
Stanford,2021,Nonprofit/Government,4.0
Kellogg,2024,Private Equity,3.87
MIT Sloan,2023,Venture Capital,3.8
Columbia,2024,Healthcare/Pharma,3.8
MIT Sloan,2019,Automotive/Aerospace,3.6
NYU Stern,2025,Venture Capital,3.6
Columbia,2022,Real Estate,3.6
MIT Sloan,2019,Private Equity,3.6
MIT Sloan,2022,Energy,3.5
MIT Sloan,2020,Private Equity,3.5
Columbia,2021,Real Estate,3.5
MIT Sloan,2021,Private Equity,3.4
Chicago Booth,2021,Healthcare/Pharma,3.3
Columbia,2022,Venture Capital,3.3
NYU Stern,2025,Private Equity,3.3
Columbia,2022,Manufacturing,3.2
Kellogg,2023,Healthcare/Pharma,3.18
MIT Sloan,2020,Consumer/Retail,3.1
Columbia,2024,Media/Entertainment,3.1
MIT Sloan,2021,Financial Services,3.1
MIT Sloan,2020,Automotive/Aerospace,3.1
NYU Stern,2025,Real Estate,3.0
Stanford,2025,Nonprofit/Government,3.0
Stanford,2022,Nonprofit/Government,3.0
MIT Sloan,2013,Private Equity,3.0
MIT Sloan,2013,Venture Capital,3.0
NYU Stern,2025,Nonprofit/Government,3.0
Stanford,2023,Hospitality / Travel,3.0
Stanford,2025,Inv. Banking,3.0
Stanford,2023,Real Estate,3.0
Stanford,2023,Nonprofit/Government,3.0
MIT Sloan,2013,Energy,2.9
Chicago Booth,2023,Healthcare/Pharma,2.8
Kellogg,2024,Consumer/Retail,2.76
Kellogg,2021,Manufacturing,2.7
MIT Sloan,2023,Energy,2.7
MIT Sloan,2023,Consumer/Retail,2.7
Columbia,2024,Real Estate,2.5
Columbia,2021,Venture Capital,2.5
Kellogg,2024,Manufacturing,2.49
Columbia,2024,Manufacturing,2.4
NYU Stern,2025,Consumer/Retail,2.4
MIT Sloan,2021,Nonprofit/Government,2.4
MIT Sloan,2023,Private Equity,2.4
Kellogg,2023,Manufacturing,2.39
Kellogg,2022,Venture Capital,2.38
MIT Sloan,2012,Automotive/Aerospace,2.3
Chicago Booth,2024,Consumer/Retail,2.3
Chicago Booth,2022,Consumer/Retail,2.2
Chicago Booth,2021,Venture Capital,2.2
MIT Sloan,2013,Automotive/Aerospace,2.2
Chicago Booth,2023,Venture Capital,2.2
Chicago Booth,2023,Consumer/Retail,2.2
Kellogg,2021,Venture Capital,2.2
Kellogg,2022,Manufacturing,2.16
Kellogg,2023,Consumer/Retail,2.12
MIT Sloan,2020,Venture Capital,2.1
Stanford,2025,Hospitality/Travel,2.0
Stanford,2025,Real Estate,2.0
Stanford,2025,Automotive,2.0
Stanford,2023,Manufacturing,2.0
Stanford,2024,Manufacturing,2.0
Stanford,2024,Real Estate,2.0
Kellogg,2022,Operations/Logistics,2.0
Stanford,2024,Inv. Banking,2.0
Stanford,2022,Energy,2.0
MIT Sloan,2012,Energy,2.0
Kellogg,2022,Consumer/Retail,1.95
MIT Sloan,2014,Energy,1.9
Kellogg,2021,Consumer/Retail,1.9
Columbia,2024,Venture Capital,1.9
Columbia,2024,Investment Banking,17.4
Columbia,2024,Investment Management,6.0
Columbia,2024,Consumer Finance & Analytics,3.9
Columbia,2024,Other Finance,1.6
Columbia,2024,Fintech,2.0
Columbia,2024,Beverages/Food,2.4
Columbia,2024,Other/Diversified Products,2.8
Columbia,2024,Education/Government/Nonprofit,1.3
Columbia,2024,Hardware/Software/Telecom,5.7
Columbia,2024,Internet Services/E-Commerce,4.4
Columbia,2024,Pharma/Biotech/Devices,2.5
Columbia,2024,Providers & Services,1.3
Columbia,2024,Retail,0.0
Columbia,2022,Media/Entertainment,1.9
MIT Sloan,2014,Automotive/Aerospace,1.9
Chicago Booth,2024,Energy,1.8
MIT Sloan,2019,Energy,1.8
MIT Sloan,2024,Nonprofit/Government,1.8
MIT Sloan,2019,Nonprofit/Government,1.8
Chicago Booth,2022,Real Estate,1.7
MIT Sloan,2012,Private Equity,1.7
Kellogg,2024,Venture Capital,1.66
MIT Sloan,2014,Private Equity,1.6
MIT Sloan,2021,Automotive/Aerospace,1.6
Chicago Booth,2024,Real Estate,1.6
Chicago Booth,2024,Venture Capital,1.6
Chicago Booth,2024,Hardware 3,1.6
