School,Year,Industry,Percentage
Columbia,2021,Private Client Services/Wealth Mgmt +,100.0
Columbia,2021,Consulting,36.1
Columbia,2021,Other +,33.3
Columbia,2021,Investment Banking,16.2
Columbia,2021,Management,13.1
Columbia,2021,Marketing,8.2
Columbia,2021,Investment Management,7.8
Columbia,2021,Brand/Product Management,6.8
Columbia,2021,Private Equity,4.5
Columbia,2021,Operations/Production,3.5
Columbia,2021,Real Estate,3.5
Columbia,2021,Financial Services,3.3
Columbia,2021,Other Functions,2.8
Columbia,2021,Venture Capital,2.5
Columbia,2021,General Management,2.5
Columbia,2021,Business/Corporate Development,2.3
Columbia,2021,Other,1.8
Columbia,2021,Sell Side Research,1.4
Columbia,2021,Development/Construction,1.4
Columbia,2022,Financial Services,36.9
Columbia,2022,Consulting,33.6
Columbia,2022,Investment Banking,16.7
Columbia,2022,Technology,16.0
Columbia,2022,Investment Management,8.2
Columbia,2022,Private Equity,4.7
Columbia,2022,Real Estate,3.6
Columbia,2022,Venture Capital,3.3
Columbia,2022,Manufacturing,3.2
Columbia,2022,Other,1.9
Columbia,2022,Media & Entertainment,1.9
Columbia,2022,Food,1.8
Columbia,2022,Devices,1.5
Columbia,2022,Nonprofit,1.4
Columbia,2022,Healthcare,1.1
Columbia,2022,Other - - - - - - -,0.4
Columbia,2022,Consumer Products,0.3
Columbia,2024,Financial Services,35.9
Columbia,2024,Consulting,30.6
Columbia,2024,Investment Banking,17.4
Columbia,2024,Investment Management,6.0
Columbia,2024,Consumer Products,5.2
Columbia,2024,Private Equity,5.2
Columbia,2024,Healthcare,3.8
Columbia,2024,Media & Entertainment,3.1
Columbia,2024,Other $ $ $ $,3.1
Columbia,2024,Other/Diversifed Products $ $ $ $,2.8
Columbia,2024,Real Estate,2.5
Columbia,2024,Beverages/Food $ $ $ $,2.4
Columbia,2024,Manufacturing,2.4
Columbia,2024,Technology,2.0
Columbia,2024,Venture Capital,1.9
Columbia,2024,Nonprofit,1.3
Columbia,2024,Providers & Services $ $ – $,1.3
MIT Sloan,2014,Healthcare,6.9
MIT Sloan,2014,Investment Banking,6.8
MIT Sloan,2014,Financial Services,1.0
MIT Sloan,2015,Consulting,32.1
MIT Sloan,2015,Technology,25.9
MIT Sloan,2015,Manufacturing,21.9
MIT Sloan,2015,Investment Banking,6.1
MIT Sloan,2015,Consumer Products,4.1
MIT Sloan,2015,Energy,3.4
MIT Sloan,2015,Private Equity,2.7
MIT Sloan,2015,Investment Management,2.4
MIT Sloan,2015,Nonprofit,2.0
MIT Sloan,2015,Financial Services,1.7
MIT Sloan,2015,Media & Entertainment,0.7
MIT Sloan,2015,Venture Capital,0.3
MIT Sloan,2018,Consulting,39.7
MIT Sloan,2018,Manufacturing,22.9
MIT Sloan,2018,Technology,22.6
MIT Sloan,2018,Financial Services,16.7
MIT Sloan,2018,Investment Banking,6.7
MIT Sloan,2018,Investment Management,3.5
MIT Sloan,2018,Private Equity,2.5
MIT Sloan,2018,Consumer Products,2.5
MIT Sloan,2018,Nonprofit,2.4
MIT Sloan,2018,Venture Capital,1.8
MIT Sloan,2018,Media & Entertainment,1.6
MIT Sloan,2018,Energy,1.3
MIT Sloan,2019,Consulting,28.3
MIT Sloan,2019,Manufacturing,23.9
MIT Sloan,2019,Financial Services,21.4
MIT Sloan,2019,Technology,21.4
MIT Sloan,2019,Investment Banking,6.5
MIT Sloan,2019,Investment Management,4.3
MIT Sloan,2019,Private Equity,3.6
MIT Sloan,2019,Venture Capital,3.6
MIT Sloan,2019,Media & Entertainment,1.8
MIT Sloan,2019,Energy,1.8
