School,Year,Rank
Stanford,1984,1.0
Harvard,1984,2.0
Yale,1984,3.0
Berkeley Haas,1984,5.0
Chicago Booth,1984,6.0
Michigan Ross,1984,7.0
Cornell,1984,8.0
MIT Sloan,1984,10.0
Dartmouth Tuck,1984,10.0
Stanford,1986,1.0
Harvard,1986,2.0
Yale,1986,2.0
Chicago Booth,1986,5.0
Duke Fuqua,1986,6.0
Berkeley Haas,1986,7.0
Dartmouth Tuck,1986,10.0
Stanford,1988,1.0
Harvard,1988,2.0
Yale,1988,3.0
Berkeley Haas,1988,5.0
Dartmouth Tuck,1988,6.0
Duke Fuqua,1988,7.0
Chicago Booth,1988,8.0
Michigan Ross,1988,8.0
MIT Sloan,1988,11.0
Cornell,1988,11.0
Darden,1988,15.0
Kellogg,1988,17.0
Columbia,1988,18.0
Wharton,1988,19.0
Yale,1989,1.0
Harvard,1989,4.0
MIT Sloan,1989,5.0
Stanford,1989,6.0
Dartmouth Tuck,1989,7.0
Columbia,1989,8.0
Chicago Booth,1989,10.0
Duke Fuqua,1989,12.0
Cornell,1989,14.0
Wharton,1989,15.0
Kellogg,1989,16.0
Darden,1989,20.0
Berkeley Haas,1989,24.0
Michigan Ross,1989,25.0
Yale,1990,1.0
Harvard,1990,3.0
Duke Fuqua,1990,5.0
Stanford,1990,6.0
MIT Sloan,1990,7.0
Dartmouth Tuck,1990,8.0
Chicago Booth,1990,9.0
Cornell,1990,11.0
Columbia,1990,11.0
Berkeley Haas,1990,13.0
Michigan Ross,1990,17.0
Kellogg,1990,19.0
Wharton,1990,20.0
Darden,1990,21.0
Harvard,1991,1.0
Stanford,1991,2.0
Yale,1991,3.0
MIT Sloan,1991,6.0
Duke Fuqua,1991,7.0
Dartmouth Tuck,1991,8.0
Cornell,1991,9.0
Columbia,1991,10.0
Chicago Booth,1991,11.0
Wharton,1991,13.0
Berkeley Haas,1991,13.0
Darden,1991,18.0
Michigan Ross,1991,21.0
Kellogg,1991,23.0
Harvard,1992,1.0
Yale,1992,2.0
Stanford,1992,3.0
MIT Sloan,1992,6.0
Duke Fuqua,1992,7.0
